Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,120.3975,-70.895,90.0,bottom
C1,129.86,-109.93,270.0,top
C10,144.4575,-74.695,0.0,bottom
C11,134.62,-78.785,0.0,top
C12,147.63,-78.8425,0.0,top
C13,225.45,-96.32,0.0,top
C15,120.874644,-83.467144,90.0,bottom
C16,115.284644,-81.007144,0.0,bottom
C17,151.02,-113.31,0.0,bottom
C18,133.21,-104.53,90.0,bottom
C19,143.25,-103.17,90.0,bottom
C2,88.26,-91.57,180.0,top
C20,152.44,-102.79,270.0,bottom
C21,154.26,-102.83,270.0,bottom
C22,212.56,-96.31,0.0,top
C23,199.64,-96.31,0.0,top
C24,186.755,-96.3,0.0,top
C25,173.85,-96.33,0.0,top
C26,158.15,-97.56,270.0,bottom
C3,117.78,-109.91,270.0,top
C4,101.59,-91.57,180.0,top
C5,50.335,-91.57,180.0,top
C6,37.7,-91.57,180.0,top
C7,62.99,-91.57,180.0,top
C8,75.48,-91.57,180.0,top
C9,144.48,-79.56,0.0,bottom
D1,131.3431,-94.0425,270.0,top
D10,65.278242,-94.0425,270.0,top
D100,186.128592,-94.0025,90.0,top
D101,187.73993,-94.0025,90.0,top
D102,189.351268,-94.0025,90.0,top
D103,190.962606,-94.0025,90.0,top
D104,192.573944,-94.0025,90.0,top
D105,194.185282,-94.0025,90.0,top
D106,195.79662,-94.0025,90.0,top
D107,197.407958,-94.0025,90.0,top
D108,199.019296,-94.0025,90.0,top
D109,200.630634,-94.0025,90.0,top
D11,63.666904,-94.0425,270.0,top
D110,202.241972,-94.0025,90.0,top
D111,203.85331,-94.0025,90.0,top
D112,205.464648,-94.0025,90.0,top
D113,207.075986,-94.0025,90.0,top
D114,208.687324,-94.0025,90.0,top
D115,210.298662,-94.0025,90.0,top
D116,211.91,-94.0025,90.0,top
D117,213.521338,-94.0025,90.0,top
D118,215.132676,-94.0025,90.0,top
D119,216.744014,-94.0025,90.0,top
D12,62.055566,-94.0425,270.0,top
D120,218.355352,-94.0025,90.0,top
D121,219.96669,-94.0025,90.0,top
D122,221.578028,-94.0025,90.0,top
D123,223.189366,-94.0025,90.0,top
D124,224.800704,-94.0025,90.0,top
D125,226.412042,-94.0025,90.0,top
D126,228.02338,-94.0025,90.0,top
D127,229.634718,-94.0025,90.0,top
D128,231.246056,-94.0025,90.0,top
D129,232.857394,-94.0025,90.0,top
D13,60.444228,-94.0425,270.0,top
D130,234.468806,-94.0025,90.0,top
D14,58.83289,-94.0425,270.0,top
D15,57.221552,-94.0425,270.0,top
D16,55.610214,-94.0425,270.0,top
D17,53.998876,-94.0425,270.0,top
D18,52.387538,-94.0425,270.0,top
D19,50.7762,-94.0425,270.0,top
D2,129.731762,-94.0425,270.0,top
D20,49.164862,-94.0425,270.0,top
D21,47.553524,-94.0425,270.0,top
D22,45.942186,-94.0425,270.0,top
D23,44.330848,-94.0425,270.0,top
D24,42.71951,-94.0425,270.0,top
D25,118.452396,-94.0425,270.0,top
D26,116.841058,-94.0425,270.0,top
D27,115.22972,-94.0425,270.0,top
D28,113.618382,-94.0425,270.0,top
D29,112.007044,-94.0425,270.0,top
D3,128.120424,-94.0425,270.0,top
D30,110.395706,-94.0425,270.0,top
D31,108.784368,-94.0425,270.0,top
D32,107.17303,-94.0425,270.0,top
D33,105.561692,-94.0425,270.0,top
D34,103.950354,-94.0425,270.0,top
D35,102.339016,-94.0425,270.0,top
D36,100.727678,-94.0425,270.0,top
D37,99.11634,-94.0425,270.0,top
D38,97.505002,-94.0425,270.0,top
D39,95.893664,-94.0425,270.0,top
D4,126.509086,-94.0425,270.0,top
D40,94.282326,-94.0425,270.0,top
D41,41.108172,-94.0425,270.0,top
D42,39.496834,-94.0425,270.0,top
D43,37.885496,-94.0425,270.0,top
D44,36.274158,-94.0425,270.0,top
D45,34.66282,-94.0425,270.0,top
D46,33.051482,-94.0425,270.0,top
D47,31.440144,-94.0425,270.0,top
D48,29.828806,-94.0425,270.0,top
D49,92.670988,-94.0425,270.0,top
D5,124.897748,-94.0425,270.0,top
D50,91.05965,-94.0425,270.0,top
D51,89.448312,-94.0425,270.0,top
D52,87.836974,-94.0425,270.0,top
D53,86.225636,-94.0425,270.0,top
D54,84.614298,-94.0425,270.0,top
D55,83.00296,-94.0425,270.0,top
D56,81.391622,-94.0425,270.0,top
D57,79.780284,-94.0425,270.0,top
D58,78.168946,-94.0425,270.0,top
D59,76.557608,-94.0425,270.0,top
D6,123.28641,-94.0425,270.0,top
D60,74.94627,-94.0425,270.0,top
D61,73.334932,-94.0425,270.0,top
D62,71.723594,-94.0425,270.0,top
D63,70.112256,-94.0425,270.0,top
D64,68.500918,-94.0425,270.0,top
D65,132.954438,-94.0025,90.0,top
D66,134.565776,-94.0025,90.0,top
D67,129.8475,-108.8625,270.0,bottom
D68,156.65,-103.84,0.0,bottom
D69,136.177114,-94.0025,90.0,top
D7,121.675072,-94.0425,270.0,top
D70,137.788452,-94.0025,90.0,top
D71,139.39979,-94.0025,90.0,top
D72,141.011128,-94.0025,90.0,top
D73,142.622466,-94.0025,90.0,top
D74,144.233804,-94.0025,90.0,top
D75,145.845142,-94.0025,90.0,top
D76,147.45648,-94.0025,90.0,top
D77,149.067818,-94.0025,90.0,top
D78,150.679156,-94.0025,90.0,top
D79,152.290494,-94.0025,90.0,top
D8,120.063734,-94.0425,270.0,top
D80,153.901832,-94.0025,90.0,top
D81,155.51317,-94.0025,90.0,top
D82,157.124508,-94.0025,90.0,top
D83,158.735846,-94.0025,90.0,top
D84,160.347184,-94.0025,90.0,top
D85,161.958522,-94.0025,90.0,top
D86,163.56986,-94.0025,90.0,top
D87,165.181198,-94.0025,90.0,top
D88,166.792536,-94.0025,90.0,top
D89,168.403874,-94.0025,90.0,top
D9,66.88958,-94.0425,270.0,top
D90,170.015212,-94.0025,90.0,top
D91,171.62655,-94.0025,90.0,top
D92,173.237888,-94.0025,90.0,top
D93,174.849226,-94.0025,90.0,top
D94,176.460564,-94.0025,90.0,top
D95,178.071902,-94.0025,90.0,top
D96,179.68324,-94.0025,90.0,top
D97,181.294578,-94.0025,90.0,top
D98,182.905916,-94.0025,90.0,top
D99,184.517254,-94.0025,90.0,top
IC1,125.375,-103.615,180.0,top
IC10,138.34012,-84.3675,0.0,top
IC11,151.365,-84.425,0.0,top
IC12,165.175,-93.965,0.0,bottom
IC13,178.025,-93.955,0.0,bottom
IC14,190.925,-93.985,0.0,bottom
IC15,203.895,-93.955,0.0,bottom
IC16,216.765,-93.955,0.0,bottom
IC17,229.675,-93.885,0.0,bottom
IC2,58.885,-93.995,180.0,bottom
IC3,113.305,-103.625,180.0,top
IC4,46.585,-93.985,180.0,bottom
IC5,97.425,-93.965,180.0,bottom
IC6,34.135,-93.955,180.0,bottom
IC7,84.505,-93.965,180.0,bottom
IC8,71.705,-93.985,180.0,bottom
IC9,141.657144,-110.09,0.0,bottom
J1,132.17,-118.61,180.0,bottom
J2,146.879119,-114.714092,213.0,bottom
J3,151.8,-110.01,90.0,bottom
J4,124.91,-117.105,180.0,bottom
LED1,139.53,-119.18,270.0,bottom
LED2,141.14,-119.19,270.0,bottom
R1,131.35,-97.02,270.0,top
R10,116.85,-97.025,270.0,top
R100,174.84,-90.92,90.0,top
R101,176.46,-90.92,90.0,top
R102,178.06,-90.92,90.0,top
R103,179.68,-90.92,90.0,top
R104,181.29,-90.92,90.0,top
R105,182.91,-90.92,90.0,top
R106,184.52,-90.92,90.0,top
R107,186.12,-90.92,90.0,top
R108,187.74,-90.92,90.0,top
R109,189.35,-90.92,90.0,top
R11,115.25,-97.025,270.0,top
R110,190.96,-90.92,90.0,top
R111,192.58,-90.92,90.0,top
R112,194.19,-90.92,90.0,top
R113,195.79,-90.92,90.0,top
R114,197.41,-90.92,90.0,top
R115,199.02,-90.92,90.0,top
R116,200.63,-90.92,90.0,top
R117,202.24,-90.92,90.0,top
R118,203.84,-90.92,90.0,top
R119,205.46,-90.92,90.0,top
R12,113.63,-97.035,270.0,top
R120,207.08,-90.92,90.0,top
R121,208.68,-90.92,90.0,top
R122,210.3,-90.92,90.0,top
R123,211.9,-90.92,90.0,top
R124,213.52,-90.92,90.0,top
R125,215.13,-90.92,90.0,top
R126,216.74,-90.92,90.0,top
R127,218.35,-90.92,90.0,top
R128,219.96,-90.92,90.0,top
R129,221.58,-90.92,90.0,top
R13,112.01,-97.035,270.0,top
R130,223.2,-90.92,90.0,top
R131,224.8,-90.92,90.0,top
R132,226.4,-90.92,90.0,top
R133,228.02,-90.92,90.0,top
R134,229.63,-90.92,90.0,top
R135,231.25,-90.92,90.0,top
R136,232.85,-90.92,90.0,top
R137,234.47,-90.92,90.0,top
R14,110.4,-97.025,270.0,top
R15,108.79,-97.025,270.0,top
R16,107.18,-97.025,270.0,top
R17,105.57,-97.025,270.0,top
R18,103.96,-97.035,270.0,top
R19,102.36,-97.025,270.0,top
R2,129.72,-97.02,270.0,top
R20,100.74,-97.025,270.0,top
R21,99.13,-97.025,270.0,top
R22,97.52,-97.025,270.0,top
R23,95.91,-97.025,270.0,top
R24,94.29,-97.035,270.0,top
R25,92.68,-97.025,270.0,top
R26,91.06,-97.035,270.0,top
R27,89.45,-97.045,270.0,top
R28,87.85,-97.055,270.0,top
R29,86.23,-97.055,270.0,top
R3,128.11,-97.02,270.0,top
R30,84.62,-97.055,270.0,top
R31,83.01,-97.055,270.0,top
R32,81.4,-97.055,270.0,top
R33,79.79,-97.045,270.0,top
R34,78.18,-97.045,270.0,top
R35,76.57,-97.045,270.0,top
R36,74.96,-97.045,270.0,top
R37,73.35,-97.045,270.0,top
R38,71.74,-97.045,270.0,top
R39,70.12,-97.045,270.0,top
R4,126.52,-97.02,270.0,top
R40,68.51,-97.055,270.0,top
R41,66.9,-97.055,270.0,top
R42,65.29,-97.06,270.0,top
R43,63.68,-97.06,270.0,top
R44,62.06,-97.06,270.0,top
R45,60.46,-97.06,270.0,top
R46,58.84,-97.06,270.0,top
R47,57.23,-97.06,270.0,top
R48,55.62,-97.055,270.0,top
R49,54.01,-97.06,270.0,top
R5,124.9,-97.015,270.0,top
R50,52.4,-97.065,270.0,top
R51,50.78,-97.06,270.0,top
R52,49.17,-97.055,270.0,top
R53,47.56,-97.055,270.0,top
R54,45.95,-97.055,270.0,top
R55,44.34,-97.06,270.0,top
R56,42.73,-97.06,270.0,top
R57,41.12,-97.08,270.0,top
R58,39.51,-97.06,270.0,top
R59,37.89,-97.06,270.0,top
R6,123.3,-97.015,270.0,top
R60,36.29,-97.07,270.0,top
R61,34.67,-97.08,270.0,top
R62,33.07,-97.08,270.0,top
R63,31.46,-97.08,270.0,top
R64,29.83,-97.085,270.0,top
R65,132.96,-90.92,90.0,top
R66,120.87,-90.65,270.0,bottom
R67,134.56,-90.92,90.0,top
R68,143.684644,-77.075,270.0,bottom
R69,120.754644,-78.795,0.0,bottom
R7,121.68,-97.015,270.0,top
R70,120.754644,-80.325,0.0,bottom
R71,136.18,-90.92,90.0,top
R74,139.57,-116.12,90.0,bottom
R75,141.09,-116.12,90.0,bottom
